index,estimator,training score,validation score,scoring,features dropped
0,RandomForestClassifier,0.9988775863970878,0.8316489862532169,accuracy_score,0
1,RandomForestClassifier,0.9988775863970878,0.8271608813006088,accuracy_score,1
2,RandomForestClassifier,0.9988775863970878,0.8237900947837551,accuracy_score,2
3,RandomForestClassifier,0.9988775863970878,0.8193145439708743,accuracy_score,3
4,RandomForestClassifier,0.9988775863970878,0.822666499278137,accuracy_score,4
5,RandomForestClassifier,0.9988775863970878,0.8182035026049841,accuracy_score,5
6,RandomForestClassifier,0.9988775863970878,0.8148076078086749,accuracy_score,6
7,RandomForestClassifier,0.9988775863970878,0.8215303496327915,accuracy_score,7
8,RandomForestClassifier,0.9988775863970878,0.832772581758835,accuracy_score,8
9,RandomForestClassifier,0.9988775863970878,0.8237900947837551,accuracy_score,9
10,RandomForestClassifier,0.9988775863970878,0.8305379448873266,accuracy_score,10
11,RandomForestClassifier,0.9988775863970878,0.8226727763480008,accuracy_score,11
12,RandomForestClassifier,0.9988775863970878,0.8260310087251271,accuracy_score,12
13,RandomForestClassifier,0.9988775863970878,0.8114619295712762,accuracy_score,13
14,RandomForestClassifier,0.9988775863970878,0.8148138848785387,accuracy_score,14
15,RandomForestClassifier,0.9988775863970878,0.8114430983616847,accuracy_score,15
16,RandomForestClassifier,0.9988775863970878,0.8136902893729208,accuracy_score,16
17,RandomForestClassifier,0.9988775863970878,0.8114682066411399,accuracy_score,17
18,RandomForestClassifier,0.9988775863970878,0.7969054045571528,accuracy_score,18
19,RandomForestClassifier,0.9988775863970878,0.8170610758897746,accuracy_score,19
20,RandomForestClassifier,0.9988775863970878,0.8181846713953925,accuracy_score,20
21,RandomForestClassifier,0.9988775863970878,0.8114430983616849,accuracy_score,21
22,RandomForestClassifier,0.9988775863970878,0.8159186491745654,accuracy_score,22
23,RandomForestClassifier,0.9988775863970878,0.824938798568828,accuracy_score,23
24,RandomForestClassifier,0.9963522542824274,0.832772581758835,accuracy_score,24
25,RandomForestClassifier,0.9500555494271712,0.7643085807545037,accuracy_score,25
26,RandomForestClassifier,0.8916947696865595,0.6543531479505368,accuracy_score,26
27,RandomForestClassifier,0.8131325149313708,0.6891532232753751,accuracy_score,27
28,rf2,0.7920867674173062,0.772192580503421,accuracy_score,0
29,rf2,0.7940503017791575,0.772192580503421,accuracy_score,1
30,rf2,0.7889992435822684,0.7766806854560292,accuracy_score,2
31,rf2,0.7867559922467182,0.7744460485845208,accuracy_score,3
32,rf2,0.7974183305230313,0.7766806854560292,accuracy_score,4
33,rf2,0.7923680602612793,0.7755759211600026,accuracy_score,5
34,rf2,0.7934896859290543,0.7789215993974012,accuracy_score,6
35,rf2,0.7881581228233292,0.775563367020275,accuracy_score,7
36,rf2,0.79349086783176,0.7755570899504112,accuracy_score,8
37,rf2,0.7909635658792568,0.7766869625258929,accuracy_score,9
38,rf2,0.7873162141292529,0.775563367020275,accuracy_score,10
39,rf2,0.7867552043115811,0.775563367020275,accuracy_score,11
40,rf2,0.7881577288557606,0.7744397715146569,accuracy_score,12
41,rf2,0.7915277274374773,0.775563367020275,accuracy_score,13
42,rf2,0.7898431221141877,0.7766806854560292,accuracy_score,14
43,rf2,0.7845111650408938,0.773316176009039,accuracy_score,15
44,rf2,0.790125990828435,0.7766806854560292,accuracy_score,16
45,rf2,0.7875979009407945,0.7744460485845208,accuracy_score,17
46,rf2,0.7881596986936035,0.775563367020275,accuracy_score,18
