index,estimator,training score,validation score,scoring,features dropped
0,RandomForestClassifier,0.9988775863970878,0.8282970309459543,accuracy_score,0
1,RandomForestClassifier,0.9988775863970878,0.8204004770573097,accuracy_score,1
2,RandomForestClassifier,0.9988775863970878,0.828278199736363,accuracy_score,2
3,RandomForestClassifier,0.9988775863970878,0.8293955181721173,accuracy_score,3
4,RandomForestClassifier,0.9988775863970878,0.8147950536689473,accuracy_score,4
5,RandomForestClassifier,0.9988775863970878,0.8237649865042999,accuracy_score,5
6,RandomForestClassifier,0.9988775863970878,0.8192894356914191,accuracy_score,6
7,RandomForestClassifier,0.9988775863970878,0.8260435628648546,accuracy_score,7
8,RandomForestClassifier,0.9988775863970878,0.8069361621994853,accuracy_score,8
9,RandomForestClassifier,0.9988775863970878,0.8260059004456719,accuracy_score,9
10,RandomForestClassifier,0.9988775863970878,0.8215617349821104,accuracy_score,10
11,RandomForestClassifier,0.9988775863970878,0.819295712761283,accuracy_score,11
12,RandomForestClassifier,0.9988775863970878,0.8181783943255289,accuracy_score,12
13,RandomForestClassifier,0.9988775863970878,0.8193082669010107,accuracy_score,13
14,RandomForestClassifier,0.9988775863970878,0.8193019898311468,accuracy_score,14
15,RandomForestClassifier,0.9988775863970878,0.8238026489234824,accuracy_score,15
16,RandomForestClassifier,0.9988775863970878,0.8047203565375682,accuracy_score,16
17,RandomForestClassifier,0.9988775863970878,0.8069675475488042,accuracy_score,17
18,RandomForestClassifier,0.9988775863970878,0.8125918021467579,accuracy_score,18
19,RandomForestClassifier,0.9988775863970878,0.8014248948590798,accuracy_score,19
20,RandomForestClassifier,0.9988775863970878,0.8148327160881301,accuracy_score,20
21,RandomForestClassifier,0.9988775863970878,0.8035842068922229,accuracy_score,21
22,RandomForestClassifier,0.9988775863970878,0.811436821291821,accuracy_score,22
23,RandomForestClassifier,0.9988775863970878,0.8260435628648548,accuracy_score,23
24,RandomForestClassifier,0.9778330207857289,0.7687527462180654,accuracy_score,24
25,RandomForestClassifier,0.9500555494271712,0.7631912623187496,accuracy_score,25
26,RandomForestClassifier,0.8916947696865595,0.6543594250204005,accuracy_score,26
27,RandomForestClassifier,0.6846277794411965,0.6521436193584835,accuracy_score,27
28,rf2,0.7957341191673101,0.7878789780930262,accuracy_score,0
29,rf2,0.7926485651701152,0.7845019145063085,accuracy_score,1
30,rf2,0.7878772239469247,0.7744460485845208,accuracy_score,2
31,rf2,0.7915253636320658,0.7766806854560292,accuracy_score,3
32,rf2,0.7926462013647037,0.7721925805034211,accuracy_score,4
33,rf2,0.7912432828529555,0.775563367020275,accuracy_score,5
34,rf2,0.7895602533999402,0.775563367020275,accuracy_score,6
35,rf2,0.7898443040168932,0.7744334944447931,accuracy_score,7
36,rf2,0.7878772239469247,0.775563367020275,accuracy_score,8
37,rf2,0.7926493531052523,0.7744460485845208,accuracy_score,9
38,rf2,0.7890012134201113,0.775563367020275,accuracy_score,10
39,rf2,0.7870361031879856,0.775563367020275,accuracy_score,11
40,rf2,0.7881581228233292,0.775563367020275,accuracy_score,12
