iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LogisticRegression,accuracy,0.23223903082041297,0.767760969179587,0.0429999564250545,0.6927374301675978,0.8089887640449438,3.8192900000001373,ok,"{'C': 0.0034903946869623437, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
2,LogisticRegression,accuracy,0.1952357039733853,0.8047642960266147,0.026931918757924254,0.7597765363128491,0.8426966292134831,0.16546500000004016,ok,"{'C': 0.012832899821718494, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
3,LogisticRegression,accuracy,0.2008850668507941,0.7991149331492059,0.017388883910043826,0.7808988764044944,0.8314606741573034,0.11404179999999542,ok,"{'C': 0.05181978506661291, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
4,LogisticRegression,accuracy,0.2008850668507941,0.7991149331492059,0.017388883910043826,0.7808988764044944,0.8314606741573034,0.11413650000008602,ok,"{'C': 0.04295372975591295, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
5,LogisticRegression,accuracy,0.2154102065155985,0.7845897934844015,0.036761072165355006,0.7150837988826816,0.8202247191011236,0.11755620000008093,ok,"{'C': 0.005088498326766785, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
6,LogisticRegression,accuracy,0.19976147134517608,0.8002385286548239,0.016324466058682617,0.7865168539325843,0.8314606741573034,0.1128971000000547,ok,"{'C': 0.03793099894006787, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
7,LogisticRegression,accuracy,0.196396961898186,0.803603038101814,0.014035359777838834,0.7932960893854749,0.8314606741573034,0.11325200000010227,ok,"{'C': 0.03222258412295692, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
8,LogisticRegression,accuracy,0.2020149394262758,0.7979850605737242,0.014995006824560385,0.7808988764044944,0.8258426966292135,0.114071899999999,ok,"{'C': 0.07161330669872415, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
9,LogisticRegression,accuracy,0.1986504299792855,0.8013495700207145,0.012559922715505578,0.7921348314606742,0.8258426966292135,0.11358909999989919,ok,"{'C': 0.0832578127319826, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
10,LogisticRegression,accuracy,0.2816270165086936,0.7183729834913064,0.04277705628494726,0.6480446927374302,0.7640449438202247,0.11462380000011763,ok,"{'C': 0.001781516120056964, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
11,LogisticRegression,accuracy,0.19976147134517608,0.8002385286548239,0.016324466058682617,0.7865168539325843,0.8314606741573034,0.11407720000011068,ok,"{'C': 0.04110582243468276, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
