iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LogisticRegression,accuracy,0.20197099993722922,0.7980290000627708,0.028878303742573486,0.7541899441340782,0.8314606741573034,0.22817744000008133,ok,"{'C': 0.00868526110354141, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
2,LogisticRegression,accuracy,0.2176385663172431,0.7823614336827569,0.046170196182183945,0.6983240223463687,0.8314606741573034,0.3939193129999694,ok,"{'C': 0.005322690518647912, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
3,LogisticRegression,accuracy,0.19301362124160426,0.8069863787583957,0.023733346318853665,0.7808988764044944,0.8370786516853933,0.1510984169999574,ok,"{'C': 0.021727787980710355, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
4,LogisticRegression,accuracy,0.19078526143995977,0.8092147385600402,0.013582938119998214,0.7921348314606742,0.8314606741573034,0.12058215299998665,ok,"{'C': 0.04989091169411597, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
5,LogisticRegression,accuracy,0.20084740443161142,0.7991525955683886,0.028736056997924628,0.7541899441340782,0.8370786516853933,0.12098737500002699,ok,"{'C': 0.00899404962324297, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
6,LogisticRegression,accuracy,0.19530475174188688,0.8046952482581131,0.01943311691621291,0.7808988764044944,0.8314606741573034,0.1339451270000609,ok,"{'C': 0.15246423256543615, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
7,LogisticRegression,accuracy,0.20084740443161142,0.7991525955683886,0.030025139190396243,0.7541899441340782,0.8370786516853933,0.12833292599998458,ok,"{'C': 0.010061064788030588, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
8,LogisticRegression,accuracy,0.20197099993722922,0.7980290000627708,0.028878303742573486,0.7541899441340782,0.8314606741573034,0.12973737599998003,ok,"{'C': 0.008555487882530717, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
9,LogisticRegression,accuracy,0.26927374301675977,0.7307262569832402,0.044406738460493554,0.6536312849162011,0.7696629213483146,0.12432887800002845,ok,"{'C': 0.001991150763572078, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
10,LogisticRegression,accuracy,0.19413093967735873,0.8058690603226413,0.0266870538802462,0.776536312849162,0.8426966292134831,0.13123502400003417,ok,"{'C': 0.020327811858942894, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
11,LogisticRegression,accuracy,0.24794425961960953,0.7520557403803905,0.044173917526674,0.6703910614525139,0.7921348314606742,0.12690413899997566,ok,"{'C': 0.0026580374359396475, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
12,LogisticRegression,accuracy,0.19525453518297664,0.8047454648170234,0.023097462666954966,0.776536312849162,0.8370786516853933,0.13126940300003298,ok,"{'C': 0.028245219071299257, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
13,LogisticRegression,accuracy,0.22886824430355923,0.7711317556964408,0.04410375510979589,0.6927374301675978,0.8146067415730337,0.12316349900004298,ok,"{'C': 0.003752387292575932, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
14,LogisticRegression,accuracy,0.21315673843449878,0.7868432615655012,0.043220721586240296,0.7094972067039106,0.8258426966292135,0.127447501000006,ok,"{'C': 0.006425637096148372, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
15,LogisticRegression,accuracy,0.19301362124160426,0.8069863787583957,0.023733346318853665,0.7808988764044944,0.8370786516853933,0.12451001199997336,ok,"{'C': 0.02206041524037036, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
16,LogisticRegression,accuracy,0.21763228924737932,0.7823677107526207,0.04812611657532925,0.6927374301675978,0.8314606741573034,0.11886026000001948,ok,"{'C': 0.005290231429284242, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
17,LogisticRegression,accuracy,0.19190257987571402,0.808097420124286,0.014580061914838812,0.7921348314606742,0.8314606741573034,0.1290823529999443,ok,"{'C': 0.04466211920361383, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
18,LogisticRegression,accuracy,0.2109221015629904,0.7890778984370096,0.03796481451669273,0.7206703910614525,0.8202247191011236,0.13445627400005833,ok,"{'C': 0.007087303921736546, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
19,LogisticRegression,accuracy,0.19412466260749495,0.805875337392505,0.028012266647811156,0.770949720670391,0.8426966292134831,0.12495385299996542,ok,"{'C': 0.012456542480783307, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
20,LogisticRegression,accuracy,0.2142803339401167,0.7857196660598833,0.04255221262358423,0.7094972067039106,0.8258426966292135,0.1256762500000832,ok,"{'C': 0.006292729184476606, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
1,XGBClassifier,accuracy,0.18969932835352454,0.8103006716464755,0.017057980953570355,0.7865168539325843,0.8324022346368715,3.459123251000051,ok,"{'colsample_bytree': 0.952709172235884, 'gamma': 1.5083499468888417, 'learning_rate': 0.034807162424502505, 'max_depth': 16, 'min_child_weight': 15.90388473445577, 'n_estimators': 5901, 'subsample': 0.5757634243525077, 'n_jobs': 5, 'random_state': 0}"
2,XGBClassifier,accuracy,0.17395016006528152,0.8260498399347185,0.015748336410661302,0.8089887640449438,0.8539325842696629,6.640562778999993,ok,"{'colsample_bytree': 0.8312262355412572, 'gamma': 5.85457624279472, 'learning_rate': 0.09437044520163806, 'max_depth': 14, 'min_child_weight': 1.9710126607087135, 'n_estimators': 4708, 'subsample': 0.9273830240536047, 'n_jobs': 5, 'random_state': 0}"
3,XGBClassifier,accuracy,0.19306383780051473,0.8069361621994853,0.017479341583803275,0.7808988764044944,0.8268156424581006,0.4057613749999973,ok,"{'colsample_bytree': 0.7050180310858485, 'gamma': 1.667604137649733, 'learning_rate': 0.25459594538080604, 'max_depth': 13, 'min_child_weight': 10.672354984783789, 'n_estimators': 763, 'subsample': 0.3887912386656467, 'n_jobs': 5, 'random_state': 0}"
