,f_value,p_value,variance,correlation_to_target,RandomForestClassifier_rfe_rank,rf2_rfe_rank,rf4_rfe_rank,rf6_rfe_rank,RandomForestClassifier_feature_importance,rf2_feature_importance,rf4_feature_importance,rf6_feature_importance,RandomForestClassifier_SFS_rank_roc_auc_score,rf2_SFS_rank_roc_auc_score,rf4_SFS_rank_roc_auc_score,rf6_SFS_rank_roc_auc_score,RandomForestClassifier_SBS_rank_roc_auc_score,rf2_SBS_rank_roc_auc_score,rf4_SBS_rank_roc_auc_score,rf6_SBS_rank_roc_auc_score
Age,4.525864543013365,0.033660897946765675,1.0092662655297007,0.07117004027679608,3,11,9,6,0.08146431568917281,0.016213266825702087,0.027540278886547462,0.050841166003603014,2,3,4,4,2,3,3,4
Age_binned_5,3.352416866643812,0.06744098843514319,0.5117845117845118,0.06129298982014906,21,27,26,24,0.019000575515810282,0.002926212626021939,0.00515668290695737,0.013391879019184693,5,11,16,21,25,26,14,15
Age_binned_5_catboost_encoded,1.150751758049847,0.28368294052565124,0.5116038909103643,0.03595497921679187,15,24,19,17,0.027581711495190904,0.0,0.006312995251851472,0.01607513801820982,4,18,11,9,5,16,12,16
Age_binned_5_target_encoded,0.21468446627444512,0.6432336934274729,0.6790298920801215,0.015538067288649704,8,21,13,10,0.036347817204616335,0.0033510496329567274,0.009262507723560473,0.022338244800806432,10,7,8,5,9,4,7,5
Age_binned_5_woe_encoded,2.641617324670817,0.10445195427453091,0.6919410861466461,0.054430182016602956,10,22,18,15,0.02852683869870372,0.0,0.006964631947893043,0.017558803323630356,15,6,10,13,15,15,19,9
Embarked_Q,0.011846343990383331,0.9133532352434973,0.07895137936290199,0.003650382683972286,28,28,28,28,0.0021985344765486797,0.0005342470707396525,0.0008162597115870377,0.0006816750851284897,7,16,27,27,18,6,16,11
Embarked_Q_catboost_encoded,14.101687845802703,0.00018445564494475492,1.8718352335500281,0.12495890805279823,25,23,25,26,0.01343525465091551,0.0018860014423610241,0.008808200945577698,0.010689195643365344,17,13,25,24,4,10,23,22
Embarked_Q_target_encoded,9.628376335242995,0.0019765036156040006,2.0455402286424094,0.10351099046043365,19,26,15,19,0.026455959720169307,0.0006844798931473159,0.008722057357741175,0.017629998058243702,6,9,22,22,8,22,13,23
Embarked_Q_woe_encoded,8.220108546142384,0.004240754946244435,2.7620830895201918,0.09571704378321194,23,16,16,20,0.014282378164650058,0.0038336841106638288,0.010665470221605777,0.011975774845859332,18,12,23,19,22,5,22,26
Embarked_S,20.37445988280315,7.223240983685237e-06,0.19936237295010212,0.1496827232706861,27,20,27,27,0.0056400574575276785,0.0016105904954119574,0.003745742453804738,0.004032951567843206,11,17,12,28,26,23,18,27
Embarked_S_catboost_encoded,16.473757375971573,5.367113959483351e-05,0.28072411926002205,0.13488336709417378,17,25,24,18,0.019157998463237028,0.0,0.008022296055369159,0.014310546918667342,14,15,18,26,14,7,8,24
Embarked_S_target_encoded,15.566143981378357,8.594639023769079e-05,0.2580485931019255,0.1311808247723653,13,19,21,16,0.02545167322865972,0.0013208239617093376,0.004727605053635584,0.017663929366827882,19,14,24,11,16,9,24,13
Embarked_S_woe_encoded,19.673458650149843,1.0337543521810004e-05,0.22364366694645774,0.1471419261807222,20,18,22,23,0.019053542282003934,0.00016168468511490875,0.0091052597156258,0.010332291192226648,16,8,19,8,17,8,11,7
Fare,63.03076422804465,6.1201893419215696e-15,4.62676463920846,0.2573065223849623,1,9,7,2,0.07773393601328266,0.060563070207223665,0.04348159631837956,0.05815805797831593,1,19,2,1,1,25,5,1
Fare_binned_5,97.10792892197969,8.199039517035441e-22,0.48785145380730865,0.3138088016826996,26,13,20,21,0.012073369118338001,0.020796128340263894,0.009586335330122183,0.015397655632054742,21,25,14,14,12,14,20,25
Fare_binned_5_catboost_encoded,92.21495201110204,7.65481495397545e-21,0.4542515721704225,0.3065621925814579,11,12,14,14,0.028188421977265746,0.009578089441109052,0.0250967710034745,0.026305516741627236,22,10,7,23,11,24,4,6
Fare_binned_5_target_encoded,96.42905215323344,1.1169968572905233e-21,0.41212205686504727,0.31281766360231994,7,15,11,11,0.041199136234929795,0.019948740343964055,0.02151322407543643,0.03035993928613887,13,28,6,6,28,19,10,8
Fare_binned_5_woe_encoded,93.4507408600198,4.349112610101609e-21,0.44787103259148203,0.3084153479656959,16,10,12,13,0.032387559712956565,0.030686498469132593,0.025549892113471726,0.026238955306146467,24,24,9,10,27,18,9,14
Parch,5.963463836603494,0.0147992453747224,0.6489990313409693,0.08162940708348222,24,17,23,25,0.01706084588271306,0.0024939198907593467,0.006157427683053541,0.00802815992402656,8,23,15,17,6,28,26,18
