,f_value,p_value,variance,correlation_to_target,RandomForestClassifier_rfe_rank,rf2_rfe_rank,rf4_rfe_rank,rf6_rfe_rank,RandomForestClassifier_feature_importance,rf2_feature_importance,rf4_feature_importance,rf6_feature_importance,RandomForestClassifier_SFS_rank_roc_auc_score,rf2_SFS_rank_roc_auc_score,rf4_SFS_rank_roc_auc_score,rf6_SFS_rank_roc_auc_score,RandomForestClassifier_SBS_rank_roc_auc_score,rf2_SBS_rank_roc_auc_score,rf4_SBS_rank_roc_auc_score,rf6_SBS_rank_roc_auc_score
Age,4.525864543013365,0.033660897946765675,1.0092662655297007,0.07117004027679608,3,12,8,8,0.08146431568917281,0.011007176549832671,0.02787878706012873,0.04489915017666878,2,3,4,4,2,3,3,4
Age_binned_5,3.352416866643812,0.06744098843514319,0.5117845117845118,0.06129298982014906,21,26,25,23,0.019000575515810282,0.0,0.007668822546977191,0.013657455850139376,5,20,23,21,25,7,24,24
Age_binned_5_catboost_encoded,1.150751758049847,0.28368294052565124,0.5116038909103643,0.03595497921679187,15,17,16,18,0.027581711495190904,0.0007004321458073343,0.005542129792204611,0.018084841443616606,4,17,6,11,5,16,18,11
Age_binned_5_target_encoded,0.21468446627444512,0.6432336934274729,0.6790298920801215,0.015538067288649704,8,24,13,11,0.036347817204616335,0.0,0.013674841160161422,0.0264013835385908,10,9,10,8,9,13,14,9
Age_binned_5_woe_encoded,2.641617324670817,0.10445195427453091,0.6919410861466461,0.054430182016602956,10,27,24,15,0.02852683869870372,0.00050553444878085,0.008406996045503606,0.01634684401438949,15,8,24,20,15,19,9,6
Embarked_Q,0.011846343990383331,0.9133532352434973,0.07895137936290199,0.003650382683972286,28,28,28,28,0.0021985344765486797,0.0,0.0005336912885130852,0.0018648871786949893,7,22,28,28,18,8,20,27
Embarked_Q_catboost_encoded,14.101687845802703,0.00018445564494475492,1.8718352335500281,0.12495890805279823,25,19,22,25,0.01343525465091551,0.00012951531931120134,0.008428179134027268,0.009093867696395053,17,10,14,16,4,15,12,26
Embarked_Q_target_encoded,9.628376335242995,0.0019765036156040006,2.0455402286424094,0.10351099046043365,19,20,21,17,0.026455959720169307,0.0,0.008706926413566038,0.013976453592328098,6,5,17,13,8,6,28,16
Embarked_Q_woe_encoded,8.220108546142384,0.004240754946244435,2.7620830895201918,0.09571704378321194,23,22,17,19,0.014282378164650058,0.0008258496685137657,0.010893302459447094,0.013733318950539199,18,11,19,12,22,14,22,28
Embarked_S,20.37445988280315,7.223240983685237e-06,0.19936237295010212,0.1496827232706861,27,25,27,27,0.0056400574575276785,0.00568100694160706,0.003848843805358484,0.0037811204219849615,11,16,16,17,26,21,26,18
Embarked_S_catboost_encoded,16.473757375971573,5.367113959483351e-05,0.28072411926002205,0.13488336709417378,17,15,20,24,0.019157998463237028,0.002386460596699297,0.008106699685318079,0.012029379387102607,14,6,13,5,14,9,23,14
Embarked_S_target_encoded,15.566143981378357,8.594639023769079e-05,0.2580485931019255,0.1311808247723653,13,21,18,16,0.02545167322865972,0.003435587710532177,0.007096473879226595,0.016501451601718984,19,19,27,22,16,17,10,8
Embarked_S_woe_encoded,19.673458650149843,1.0337543521810004e-05,0.22364366694645774,0.1471419261807222,20,18,23,22,0.019053542282003934,0.0011654226634018382,0.007705310376660727,0.013036254601886467,16,13,9,10,17,5,16,17
Fare,63.03076422804465,6.1201893419215696e-15,4.62676463920846,0.2573065223849623,1,9,7,3,0.07773393601328266,0.029532521399179997,0.04618968739975143,0.05138406834687452,1,21,2,1,1,11,5,1
Fare_binned_5,97.10792892197969,8.199039517035441e-22,0.48785145380730865,0.3138088016826996,26,14,19,21,0.012073369118338001,0.008452177756883247,0.015622189615356481,0.016379355778910254,21,26,11,25,12,27,8,21
Fare_binned_5_catboost_encoded,92.21495201110204,7.65481495397545e-21,0.4542515721704225,0.3065621925814579,11,10,14,12,0.028188421977265746,0.017865325289123213,0.028881944841895272,0.027850948770669706,22,14,18,24,11,24,4,10
Fare_binned_5_target_encoded,96.42905215323344,1.1169968572905233e-21,0.41212205686504727,0.31281766360231994,7,13,11,10,0.041199136234929795,0.018117245917919238,0.0194083311196454,0.0329609799733913,13,25,8,6,28,28,13,5
Fare_binned_5_woe_encoded,93.4507408600198,4.349112610101609e-21,0.44787103259148203,0.3084153479656959,16,11,12,14,0.032387559712956565,0.015005437495489897,0.02229629186610409,0.030703751736765966,24,27,5,9,27,22,11,22
Parch,5.963463836603494,0.0147992453747224,0.6489990313409693,0.08162940708348222,24,23,26,26,0.01706084588271306,0.0006071046593178652,0.004791765313977393,0.011399674886876376,8,15,12,27,6,18,19,15
Pclass_ordinal_encoded,115.03127218827657,2.5370473879805644e-25,0.6982305912347064,0.33848103596101586,18,8,6,13,0.024315928988805788,0.039787446196995736,0.042710575331321825,0.037719587684081485,23,12,25,7,19,23,25,25
Pclass_ordinal_encoded_catboost_encoded,103.3707710188402,4.7826138682891206e-23,0.4649808996969495,0.3227467633707882,14,7,10,9,0.03623717832406652,0.023963971614649787,0.04440133477504629,0.03687535971136359,9,4,21,14,10,26,6,20
Pclass_ordinal_encoded_target_encoded,106.48801309871138,1.1710398938454887e-23,0.41833099302172716,0.3270636991940269,5,5,3,4,0.04526631012064704,0.048920799375121934,0.04439461403507727,0.055572494932442734,20,2,3,3,7,2,2,3
Pclass_ordinal_encoded_woe_encoded,104.84776050913749,2.4539277620041417e-23,0.4047237806201147,0.3248027125828596,9,6,9,7,0.034207863602548724,0.07180213201656122,0.04802304949880523,0.033829811064617965,28,28,7,26,13,25,15,7
Sex_male,372.40572360221495,1.406066130879597e-69,0.22821808306282682,0.5433513806577526,12,3,5,6,0.056801982858487435,0.207305525387587,0.15291983362335573,0.08260935199260025,12,23,26,15,23,12,21,23
Sex_male_catboost_encoded,365.125360349188,1.855317302033764e-68,0.2247571616950877,0.5395733909155005,6,1,2,5,0.09506708905842329,0.20442096218193528,0.12584764043572153,0.10853924946712586,27,1,1,2,21,1,27,19
Sex_male_target_encoded,364.58495375986655,2.2482554339180597e-68,0.22341923011918421,0.5392901466275074,2,2,4,1,0.06888590361489418,0.14156928369015057,0.15384410257616785,0.11853497057888347,3,18,20,18,3,20,1,13
Sex_male_woe_encoded,367.18332757788517,8.933939077047792e-69,0.23503217991518008,0.5406484523572266,4,4,1,2,0.09238303991534436,0.1451734326830191,0.12313260211960214,0.13567833304639146,25,24,22,23,20,10,17,2
SibSp,1.1105722041132329,0.29224392869817906,1.2146782704208816,0.03532249888573588,22,16,15,20,0.019594777530090875,0.0016396482915798593,0.009045033801079233,0.016555653574949765,26,7,15,19,24,4,7,12
