iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LogisticRegression,accuracy,0.20421819094846527,0.7957818090515347,0.026768000492810327,0.7541899441340782,0.8258426966292135,1.0800474969996685,ok,"{'C': 0.008174796663349533, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
2,LogisticRegression,accuracy,0.2109221015629904,0.7890778984370096,0.037798180811838465,0.7206703910614525,0.8202247191011236,1.2323854920000485,ok,"{'C': 0.007456580176063114, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
3,LogisticRegression,accuracy,0.19638440775845845,0.8036155922415416,0.027326129089901553,0.7696629213483146,0.848314606741573,1.1759295370002292,ok,"{'C': 0.015197336097355196, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
4,LogisticRegression,accuracy,0.19189002573598635,0.8081099742640137,0.025217943614831713,0.7808988764044944,0.8426966292134831,1.1893106570000782,ok,"{'C': 0.016970348333069277, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
5,LogisticRegression,accuracy,0.19639068482832212,0.8036093151716779,0.01481321459998253,0.7865168539325843,0.8258426966292135,1.2070080640000924,ok,"{'C': 0.03346957219746275, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
6,LogisticRegression,accuracy,0.19306383780051473,0.8069361621994853,0.02047313848986805,0.7808988764044944,0.8314606741573034,1.1809804689996781,ok,"{'C': 0.18501222413286775, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
7,LogisticRegression,accuracy,0.2928378632854184,0.7071621367145816,0.044508619883696164,0.6256983240223464,0.7471910112359551,1.2027588870000727,ok,"{'C': 0.0011479966819945002, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
8,LogisticRegression,accuracy,0.2109221015629904,0.7890778984370096,0.03796481451669273,0.7206703910614525,0.8202247191011236,1.1663949419998971,ok,"{'C': 0.007362723951833776, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
9,LogisticRegression,accuracy,0.19525453518297664,0.8047454648170234,0.023097462666954966,0.776536312849162,0.8370786516853933,1.1719097139998667,ok,"{'C': 0.028150535343720546, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
10,LogisticRegression,accuracy,0.2984558408135083,0.7015441591864917,0.04282810590416674,0.6256983240223464,0.7471910112359551,1.1793244579998827,ok,"{'C': 0.0010719047187090322, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
11,LogisticRegression,accuracy,0.19190257987571402,0.808097420124286,0.014580061914838812,0.7921348314606742,0.8314606741573034,1.1795052570000735,ok,"{'C': 0.04917602741481999, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
12,LogisticRegression,accuracy,0.18855062456845162,0.8114493754315484,0.010973596443815323,0.797752808988764,0.8314606741573034,1.1708778160000293,ok,"{'C': 0.06940715377237823, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
13,LogisticRegression,accuracy,0.24121524072562928,0.7587847592743707,0.04388966839368469,0.6815642458100558,0.8033707865168539,1.1842530140002054,ok,"{'C': 0.0029054318718131663, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
14,LogisticRegression,accuracy,0.19301362124160426,0.8069863787583957,0.023733346318853665,0.7808988764044944,0.8370786516853933,1.1569933789996867,ok,"{'C': 0.02173685952136848, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
15,LogisticRegression,accuracy,0.19301989831146815,0.8069801016885318,0.015831847864490614,0.7877094972067039,0.8314606741573034,1.139731786000084,ok,"{'C': 0.042661619723085194, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
16,LogisticRegression,accuracy,0.24009164522001136,0.7599083547799886,0.04465055624499282,0.6815642458100558,0.8033707865168539,1.1728760820001298,ok,"{'C': 0.003325935337999729, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
17,LogisticRegression,accuracy,0.19530475174188688,0.8046952482581131,0.01943311691621291,0.7808988764044944,0.8314606741573034,1.1926136000001861,ok,"{'C': 0.15489548435948908, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
18,LogisticRegression,accuracy,0.18630971062707924,0.8136902893729208,0.010922866328636162,0.797752808988764,0.8314606741573034,1.2049932179997995,ok,"{'C': 0.05931036664011822, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
19,LogisticRegression,accuracy,0.20197099993722945,0.7980290000627706,0.028658886203861526,0.7541899441340782,0.8314606741573034,1.1417036019997795,ok,"{'C': 0.008415834542277328, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
20,LogisticRegression,accuracy,0.19414349381708607,0.8058565061829139,0.015445347443517398,0.7877094972067039,0.8314606741573034,1.14776037799993,ok,"{'C': 0.03837255565837678, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
21,LogisticRegression,accuracy,0.18967422007406953,0.8103257799259305,0.011445486016016054,0.797752808988764,0.8314606741573034,1.1651889550003034,ok,"{'C': 0.08888157132339407, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
22,LogisticRegression,accuracy,0.18967422007406953,0.8103257799259305,0.011445486016016054,0.797752808988764,0.8314606741573034,1.1575353819998782,ok,"{'C': 0.08371030820919417, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
23,LogisticRegression,accuracy,0.18967422007406953,0.8103257799259305,0.011445486016016054,0.797752808988764,0.8314606741573034,1.1465757089999897,ok,"{'C': 0.08156751312878811, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
