index,estimator,training score,validation score,scoring,features dropped
0,LogisticRegression,0.8299663551696422,0.8170422446801833,accuracy_score,0
1,LogisticRegression,0.8299667491372109,0.8181658401858012,accuracy_score,1
2,LogisticRegression,0.8299671431047795,0.8170422446801833,accuracy_score,2
3,LogisticRegression,0.8296850623256693,0.8136777352331931,accuracy_score,3
4,LogisticRegression,0.8296850623256693,0.8136777352331931,accuracy_score,4
5,LogisticRegression,0.8294045574168333,0.8136777352331931,accuracy_score,5
6,LogisticRegression,0.8288435475991616,0.814801330738811,accuracy_score,6
7,LogisticRegression,0.8299663551696422,0.8159186491745652,accuracy_score,7
8,LogisticRegression,0.8294053453519705,0.8147950536689473,accuracy_score,8
9,LogisticRegression,0.8296858502608064,0.8159186491745652,accuracy_score,9
10,LogisticRegression,0.8302468600784783,0.8159186491745652,accuracy_score,10
11,LogisticRegression,0.8310891627401231,0.8159186491745652,accuracy_score,11
12,LogisticRegression,0.8299663551696425,0.8136777352331933,accuracy_score,12
13,LogisticRegression,0.8302472540460469,0.8148013307388112,accuracy_score,13
14,LogisticRegression,0.8305277589548827,0.8148013307388112,accuracy_score,14
15,LogisticRegression,0.8277227098665237,0.8103195028560668,accuracy_score,15
16,LogisticRegression,0.8271613060812835,0.811436821291821,accuracy_score,16
17,LogisticRegression,0.8288447295018674,0.8080723118448307,accuracy_score,17
18,LogisticRegression,0.8285642245930316,0.8080723118448307,accuracy_score,18
19,LogisticRegression,0.8280032147753597,0.8103195028560668,accuracy_score,19
20,LogisticRegression,0.8240753581165198,0.8114305442219572,accuracy_score,20
21,LogisticRegression,0.8240749641489511,0.8114305442219572,accuracy_score,21
22,LogisticRegression,0.8274414170225507,0.8136651810934656,accuracy_score,22
23,LogisticRegression,0.8260384985108026,0.8125541397275752,accuracy_score,23
24,LogisticRegression,0.8291260223458405,0.8181532860460736,accuracy_score,24
25,LogisticRegression,0.8294061332871078,0.81814700897621,accuracy_score,25
26,LogisticRegression,0.8240749641489513,0.8058125666938674,accuracy_score,26
27,LogisticRegression,0.821549632034291,0.8069298851296214,accuracy_score,27
28,LogisticRegression,0.8207081173077831,0.8091770761408574,accuracy_score,28
29,LogisticRegression,0.8100453850639017,0.7991023790094783,accuracy_score,29
30,LogisticRegression,0.8092054462076682,0.8013495700207143,accuracy_score,30
31,LogisticRegression,0.8100469609341759,0.8013495700207143,accuracy_score,31
32,LogisticRegression,0.809485951116504,0.8035967610319503,accuracy_score,32
33,LogisticRegression,0.8086436484548593,0.8058439520431863,accuracy_score,33
34,LogisticRegression,0.7979820981136834,0.7890151277383717,accuracy_score,34
35,LogisticRegression,0.7985431079313551,0.7923670830456343,accuracy_score,35
36,LogisticRegression,0.7937717667081646,0.7822672776348,accuracy_score,36
37,LogisticRegression,0.7923668783585734,0.7811625133387735,accuracy_score,37
38,LogisticRegression,0.7915253636320657,0.7811625133387735,accuracy_score,38
39,LogisticRegression,0.7901216571851805,0.7878601468834348,accuracy_score,39
40,LogisticRegression,0.7870353152528484,0.7867365513778168,accuracy_score,40
41,LogisticRegression,0.7847904880470239,0.7844956374364447,accuracy_score,41
42,LogisticRegression,0.7867552043115811,0.7867365513778168,accuracy_score,42
43,XGBClassifier,0.9988775863970878,0.803577929822359,accuracy_score,0
44,XGBClassifier,0.9988775863970878,0.803577929822359,accuracy_score,1
45,XGBClassifier,0.9988775863970878,0.803577929822359,accuracy_score,2
46,XGBClassifier,0.9988775863970878,0.8058251208335948,accuracy_score,3
47,XGBClassifier,0.9988775863970878,0.8058251208335948,accuracy_score,4
48,XGBClassifier,0.9988775863970878,0.8058251208335948,accuracy_score,5
49,XGBClassifier,0.9988775863970878,0.8058251208335948,accuracy_score,6
50,XGBClassifier,0.9988775863970878,0.8058251208335948,accuracy_score,7
51,XGBClassifier,0.9988775863970878,0.8125478626577113,accuracy_score,8
52,XGBClassifier,0.9988775863970878,0.8125478626577113,accuracy_score,9
53,XGBClassifier,0.9988775863970878,0.8136902893729208,accuracy_score,10
54,XGBClassifier,0.9988775863970878,0.8024543343167408,accuracy_score,11
55,XGBClassifier,0.9988775863970878,0.8035842068922227,accuracy_score,12
56,XGBClassifier,0.9988775863970878,0.8046952482581131,accuracy_score,13
57,XGBClassifier,0.9988775863970878,0.8046952482581131,accuracy_score,14
58,XGBClassifier,0.9988775863970878,0.7934718473416609,accuracy_score,15
59,XGBClassifier,0.9988775863970878,0.7990772707300232,accuracy_score,16
60,XGBClassifier,0.9988775863970878,0.7990772707300232,accuracy_score,17
61,XGBClassifier,0.9988775863970878,0.8046826941183856,accuracy_score,18
62,XGBClassifier,0.9988775863970878,0.8046826941183856,accuracy_score,19
63,XGBClassifier,0.9988775863970878,0.8080660347749671,accuracy_score,20
64,XGBClassifier,0.9988775863970878,0.791224656330425,accuracy_score,21
65,XGBClassifier,0.9985970814882517,0.8013244617412593,accuracy_score,22
66,XGBClassifier,0.9985970814882517,0.7968238026489236,accuracy_score,23
67,XGBClassifier,0.9988775863970878,0.7912058251208336,accuracy_score,24
68,XGBClassifier,0.9988775863970878,0.805818843763731,accuracy_score,25
69,XGBClassifier,0.9988775863970878,0.8103006716464755,accuracy_score,26
70,XGBClassifier,0.9988775863970878,0.8103006716464755,accuracy_score,27
71,XGBClassifier,0.9988775863970878,0.8103006716464755,accuracy_score,28
72,XGBClassifier,0.9988775863970878,0.8103006716464755,accuracy_score,29
73,XGBClassifier,0.9985970814882519,0.801299353461804,accuracy_score,30
74,XGBClassifier,0.9983161826118474,0.8102881175067479,accuracy_score,31
